,STT,Năm,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú,Unnamed: 7
19,2020,"Quản trị doanh nghiệp
7340101",29.83,,,Thang 40,
20,2020,"Quản trị khách sạn
7810201",30.2,,,Thang 40,
21,2020,"Sư phạm Ngữ văn
7140217",28.3,,,Thang 40,
22,2020,"Sư phạm Lịch sử
7140218",20.0,,,Thang 40,
23,2020,"Sư phạm Vật lý
7140211",28.65,,,Thang 40,
24,2020,"Sư phạm Toán học
7140209",29.03,,,Thang 40,
STT,Năm,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú,Unnamed: 7
2,2019,"Công tác xã hội
7760101",18.0,,,Môn Ngữ văn hệ số 2,
3,2019,"Công nghệ kỹ thuật Môi trường
7510406",23.0,,,"Môn Hoá (A00, B00, D07); môn Sinh (D08) hệ số 2",
4,2019,"Công nghệ thông tin
7480201",20.0,,,Môn Toán hệ số 2,
5,2019,"ĐH Toán ứng dụng
7460112",20.0,,,Môn Toán hệ số 2,
6,2019,"Du lịch
7310630",18.0,,,"Môn Lịch Sử (C00); môn Địa lý (D15); môn Tiếng Anh (D14, D78) hệ số 2",
7,2019,"Giáo dục Mầm non
7140201",30.5,,,Môn Năng khiếu hệ số 2,
8,2019,"Giáo dục Đặc biệt
7140203",24.25,,,Môn Ngữ văn hệ số 2,
9,2019,"Giáo dục Mầm non
51140201",27.0,,,Môn Năng khiếu hệ số 2,
10,2019,"Giáo dục Công dân
7140204",25.0,,,"Môn Ngữ văn (C00, D78); môn GDCD (C19, D66) hệ số 2",
11,2019,"Giáo dục Tiểu học
7140202",24.0,,,Môn Tiếng Anh hệ số 2,
12,2019,"Giáo dục Thể chất
51140206",40.0,,,Môn Năng khiếu hệ số 2,
13,2019,"Giáo dục Tiểu học
51140202",22.25,,,Môn Tiếng Anh hệ số 2,
14,2019,"Logistics và Quản lý chuỗi cung ứng
7510605",20.0,,,"Môn Toán (A00, D01, D90); môn Văn (D78) hệ số 2",
15,2019,"Luật
738101",20.0,,,"Môn Văn (C00, D78); môn GDCD (D66); môn Toán (D90) hệ số 2",
16,2019,"Ngôn ngữ Trung Quốc
7220204",28.0,,,Môn Tiếng Anh hệ số 2,
17,2019,"Ngôn ngữ Anh
7220201",27.5,,,Môn Tiếng Anh hệ số 2,
